#=================================================================
"# Scotia Wealth Management "
# Report suite: Scotiabank Prod
"# Date: Aug 29, 2021 - Sep 4, 2021"
# Segments: SWM
#=================================================================


##############################################
# Operating Systems
##############################################
,Unique Visitors
#=================================================================
# SWM Site Search
# Report suite: Scotiabank Prod
"# Date: Aug 29, 2021 - Sep 4, 2021"
# Segments: SWM
#=================================================================


##############################################
# Site Search
##############################################
,Internal Searches (e1),Avg Rank of Result Clicked (beta version)
Internal Search (c1),82,
careers,4,3.3333333333333335
mitzi newman,3,0
investment products,2,6
libary,2,1
alex besherat,2,0
app,2,0
book an appointment,2,0
francois beauregard,2,0
total wealth pdf,1,5
transfer fees,1,3
fees,1,3
complaint,1,2
scotia en linea,1,2
bahamas,1,2
gear,1,1
executive team,1,1
retail service centre,1,1
forms,1,1
career,1,1
murray maitland,1,1
estate assist service,1,1
aqueduct,1,1
estate planning,1,1
terms and conditions,1,1
privacy policy,1,1
credit cards,1,1
complaint handling,1,1
addition or change of designation of beneficiary,1,1
total wealth credit solution,1,1
jobs,1,1
terms,1,0
transfer form,1,0
tom pownall,1,0
amanda anderson,1,0
brian,1,0
hot stocks for today,1,0
fernandez,1,0
sebastien perron-carle,1,0
transunion,1,0
rrif drawdowns,1,0
guarantee,1,0
macdonald group,1,0
goldberg,1,0
funke,1,0
joanne proulx,1,0
james laurie,1,0
mortgage,1,0
jolene funke,1,0
gerente de mercados estrategia de inversión,1,0
etienne labrecque,1,0


